Date/Time of Report: 3/18/2025 13:06:20,,,,,,,,
Requester: STN07 - Mngr,,,,,,,,
Filter Applied: Event Time: Before 2/4/2025 4:58:01 AM,,,,,,,,
Sort Criteria: Event Time descending,,,,,,,,
Server: VCMA,,,,,,,,
"Tip: to see the full time in Excel, use a custom cell format:  d/mm/yyyy h:mm:ss.000",,,,,,,,
,,,,,,,,
,,,,,,,,
Event Time,Location Tag,Source,Condition,Action,Priority,Description,Value,Units
4:43:27,U800,LIA_MF801_1,PVHIGH,ACK,,MF-801 interface,,
4:43:25,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1014.38,Kg/Hr
4:43:26,U800,PP815C,OFFNRM,ACK,,,,
4:43:25,U300,SOP_PP304S,PVLOW,ACK,,PP-304S SOP DP,,
4:43:24,U300,SOP_PP304S,PVLOW,,L 00,PP-304S SOP DP,149.157,kPaG
4:43:22,AREA400_HTDC,PI_4130,PVLOW,ACK,,CL2  FEED PRESSURE TO MR-402,,
4:43:20,U400,HV_412_1,OFFNRM,,J 00,,NORMAL,
4:43:11,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-732.679,Kg/Hr
4:43:01,U800,PP815C,OFFNRM,,L 00,,TURE,
4:42:54,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1066.08,Kg/Hr
4:42:11,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.7129,%
4:42:06,U800,PP815C,OFFNRM,OK,L 00,,FALSE,
4:42:02,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-686.023,Kg/Hr
4:42:01,U400,FIC-4278C,PVHIGH,,L 00,Flow Control of QBS Feed from Quench Scrubber AS-304C,2293.91,kg/hr
4:41:56,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1111.38,Kg/Hr
4:41:51,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-644.334,Kg/Hr
4:41:49,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,16,%
4:41:48,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.9,%
4:41:46,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1023.95,Kg/Hr
4:41:47,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.8,%
4:41:46,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.7,%
4:41:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.6,%
4:41:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.5,%
4:41:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.4,%
4:41:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.3,%
4:41:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.2,%
4:41:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15.1,%
4:41:25,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,72.7686,%
4:41:19,U500,PP506,OFFNRM,OK,L 00,,FALSE,
4:41:20,U500,PP506,UNCMD,,L 00,,STOP,
4:41:05,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-616.423,Kg/Hr
4:41:01,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1064.85,Kg/Hr
4:40:53,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.457,%
4:40:45,U500,PP506,OFFNRM,,L 00,,TURE,
4:40:45,U500,PP506,UNCMD,OK,L 00,,RUNNING,
4:40:35,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-687.57,Kg/Hr
4:40:32,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1033.15,Kg/Hr
4:40:27,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-586.48,Kg/Hr
4:40:21,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1024.93,Kg/Hr
4:40:21,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,71.4582,%
4:40:05,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-528.271,Kg/Hr
4:40:01,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1034.16,Kg/Hr
4:39:57,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-729.53,Kg/Hr
4:39:54,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1103.09,Kg/Hr
4:39:55,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.6662,%
4:39:10,U900,LICA_952,CHANGE,,,PIDA.OP,5,%
4:39:11,U900,LICA_952,CHANGE,,,PIDA.OP,4,%
4:39:10,U900,LICA_952,CHANGE,,,PIDA.OP,3,%
4:39:09,U900,LICA_952,CHANGE,,,PIDA.OP,2,%
4:39:10,U900,LICA_952,CHANGE,,,PIDA.OP,1,%
4:39:10,U900,LICA_952,CHANGE,,,PIDA.OP,0,%
4:39:09,U900,LICA_952,CHANGE,,,PIDA.OP,-1,%
4:39:09,U900,LICA_952,CHANGE,,,PIDA.OP,-2,%
4:39:09,U900,LICA_952,CHANGE,,,PIDA.OP,-3,%
4:39:08,U900,LICA_952,CHANGE,,,PIDA.OP,-4,%
4:39:06,U900,LICA_952,CHANGE,,,pida.mode,MAN,
4:38:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,15,%
4:38:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.9,%
4:38:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.8,%
4:38:43,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.7,%
4:38:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.6,%
4:38:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.5,%
4:38:42,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.4,%
4:38:41,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.3,%
4:38:40,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.2,%
4:38:40,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14.1,%
4:38:35,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,70.0678,%
4:38:32,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-646.725,Kg/Hr
4:38:30,U800,FIC_MF801_2,CHANGE,,,PIDA.OP,0.404853,%
4:38:28,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1022.04,Kg/Hr
4:38:28,U800,FIC_MF801_2,CHANGE,,,PIDA.OP,0.504853,%
4:38:11,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-587.61,Kg/Hr
4:38:09,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1100.77,Kg/Hr
4:37:49,U800,LIA_MF801_1,PVHIGH,OK,L 00,MF-801 interface,66.4259,%
4:37:44,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-655.283,Kg/Hr
4:37:42,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1007.37,Kg/Hr
4:37:31,U800,LIA_MF801_1,PVHIGH,,L 00,MF-801 interface,70.5127,%
4:37:17,U900,LI_9207B,PVHIGH,OK,L 00,Level of  MS-903B,25.9277,%
4:37:12,U800,PP815C,OFFNRM,,L 00,,TURE,
4:37:10,U100,ALARMS_LTC,PVLOW,OK,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-704.399,Kg/Hr
4:37:02,U800,PP815C,OFFNRM,OK,L 00,,FALSE,
4:37:03,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,14,%
4:37:00,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.9,%
4:37:00,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.8,%
4:37:00,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.7,%
4:37:00,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.6,%
4:36:58,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.5,%
4:36:58,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.4,%
4:36:57,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.3,%
4:36:57,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.2,%
4:36:56,U100,ALARMS_LTC,PVLOW,,H 00,Difference of FRIC_102BA and (FQR_99-FIC_203),-1011.11,Kg/Hr
4:36:56,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13.1,%
4:36:56,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,13,%
4:36:56,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.9,%
4:36:55,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.8,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.7,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.6,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.5,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.4,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.3,%
4:36:52,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.2,%
4:36:53,U900,FXV_906B,CHANGE,,,AUTOMANA.OP,12.1,%
